number,name,rai,lat,lon
1,สวนสาธารณะศูนย์กีฬาบึงหนองบอน,644,13.695695,100.6588
2,สวนหลวงร.9,500,13.685901,100.663804
3,สวนวชิรเบญจทัศ (สวนรถไฟ),375,13.810744,100.553046
4,สวนลุมพินี,360,13.731329,100.541722
5,สวนเสรีไทย,208,13.787373,100.673522
6,สวนสมเด็ขพระนางเจ้าสิริกิติ์,196,13.806279,100.550054
7,สวนเบญจกิติ,191,13.729637,100.558676
8,สวนจตุจักร,155,13.806908,100.55515
9,สวนวารีภิรมย์,121,13.849211,100.775046
10,สวนนวมินทร์ภิรมย์,76,13.784059,100.648072
11,สวนธนบุรีรมย์,63,13.651869,100.491408
12,สวนกีฬารามอินทรา,59,13.878704,100.620806
13,สวนทวีวนารมย์,54,13.744386,100.352302
14,สวน 60 พรรษา สมเด็จพระนางเจ้า,52,13.763037,100.732277
15,สวนพระนคร,50,13.719191,100.781236
16,สวนปทุมวนานุรักษ์,40,13.749009,100.537919
17,สวนวนธรรม ,38,13.683037,100.656967
18,สวนหนองจอก,35,13.854141,100.858998
19,สวนวัชราภิรมย์,34,13.851895,100.639468
20,สวนรมณีนาถ,29,13.748828,100.502581
21,สวนสาธารณะเฉลิมพระเกียรติ 60 รอบพระชนมพรรษา,29,13.686268,100.517924
22,อุทยานเบญจสิริ,29,13.730493,100.567288
23,สวนหลวงพระราม 8,24,13.769376,100.494784
24,สวนสราญรมย์,23,13.748177,100.495225
25,สวนสิริภิรมย์,23,13.828948,100.746679
26,สวนสาธารณะบึงน้ำลาดพร้าว 71,21,13.819467,100.612174
27,สวนเฉลิมพระเกียรติ 80 พรรษา พระบาทสมเด็จพระเจ้าอยู่หัว (บางกอกน้อย),21,13.772139,100.468107
28,สวน 50 พรรษามหาจักรีสิรินธร,20,13.676562,100.677738
29,สวนสันติภาพ,20,13.76177,100.540762
30,สวนเฉลิมพระเกียรติ 80 พรรษาพระบาทสมเด็จพระเจ้าอยู่หัว(สาธร),17,13.715097,100.519301
31,สวนรมณีย์ทุ่งสีกัน,15,13.928998,100.567671
32,สวนพระยาภิรมย์,10,13.823001,100.755688
33,สวนสาธารณะสันติชัยปราการ,8,13.76389,100.495304
34,สวนราษฎร์ภิรมย์,7,13.807789,100.881565
35,สวนสิรินธาพฤกษาพรรณ,3,13.74649,100.466558
36,สวนจรัญภิรมย์,3,13.774681,100.491275
37,สวนนคราภิรมย์,3,13.746788,100.49027